"Step","Our Work - island_0_best_score","Our Work - island_0_best_score__MIN","Our Work - island_0_best_score__MAX","Benchmark - island_0_best_score","Benchmark - island_0_best_score__MIN","Benchmark - island_0_best_score__MAX"
"469","-212","-212","-212","","",""
"477","-212","-212","-212","","",""
"478","-212","-212","-212","","",""
"480","-212","-212","-212","-208.8","-208.8","-208.8"
"481","-212","-212","-212","-208.8","-208.8","-208.8"
"482","","","","-208.8","-208.8","-208.8"
"483","-212","-212","-212","-208.8","-208.8","-208.8"
"484","-212","-212","-212","-208.8","-208.8","-208.8"
"485","","","","-208.8","-208.8","-208.8"
"486","-212","-212","-212","","",""
"487","-212","-212","-212","","",""
"489","-212","-212","-212","","",""
"490","-212","-212","-212","","",""
"492","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"493","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"495","","","","-208.8","-208.8","-208.8"
"497","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"500","-211.8","-211.8","-211.8","","",""
"501","-211.8","-211.8","-211.8","","",""
"503","-211.8","-211.8","-211.8","","",""
"505","-211.8","-211.8","-211.8","","",""
"509","","","","-208.8","-208.8","-208.8"
"511","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"512","-211.8","-211.8","-211.8","","",""
"513","","","","-208.8","-208.8","-208.8"
"514","-211.8","-211.8","-211.8","","",""
"515","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"516","","","","-208.8","-208.8","-208.8"
"517","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"518","-211.8","-211.8","-211.8","","",""
"519","-211.8","-211.8","-211.8","","",""
"520","-211.8","-211.8","-211.8","","",""
"521","","","","-208.8","-208.8","-208.8"
"522","-211.8","-211.8","-211.8","","",""
"523","","","","-208.8","-208.8","-208.8"
"524","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"525","","","","-208.8","-208.8","-208.8"
"526","-211.8","-211.8","-211.8","","",""
"529","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"531","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"533","-211.8","-211.8","-211.8","","",""
"537","-211.8","-211.8","-211.8","","",""
"538","-211.8","-211.8","-211.8","","",""
"540","-211.8","-211.8","-211.8","","",""
"542","","","","-208.8","-208.8","-208.8"
"543","-211.8","-211.8","-211.8","-208.8","-208.8","-208.8"
"545","","","","-208.8","-208.8","-208.8"
"546","","","","-208.8","-208.8","-208.8"
"548","","","","-208.8","-208.8","-208.8"
"549","","","","-208.8","-208.8","-208.8"
"550","","","","-208.8","-208.8","-208.8"
"551","-211.8","-211.8","-211.8","","",""
"553","","","","-208.8","-208.8","-208.8"
"554","-211.8","-211.8","-211.8","","",""
"556","","","","-208.8","-208.8","-208.8"
"557","","","","-208.8","-208.8","-208.8"
"559","","","","-208.8","-208.8","-208.8"
"560","","","","-208.8","-208.8","-208.8"
"562","","","","-208.8","-208.8","-208.8"
"565","","","","-208.8","-208.8","-208.8"
"568","","","","-208.8","-208.8","-208.8"
"569","","","","-208.8","-208.8","-208.8"
